,Fajr,Shorouq,Zohr,Asr,Maghrib,Isha
2018-01-01,5.198620223189634,6.627958858986865,11.94379781504363,14.929627262292376,17.259636771100396,18.759636771100396
2018-01-02,5.204303381640409,6.63274970639485,11.951642558382131,14.940021879120915,17.270535410369412,18.770535410369412
2018-01-03,5.2096957418651275,6.6371745993311055,11.95939306977931,14.950544591613713,17.281611540227516,18.781611540227516
2018-01-04,5.214789793592182,6.641227929401081,11.967040942687023,14.961183472636161,17.292853955972966,18.792853955972966
2018-01-05,5.2195782972518545,6.644904494926485,11.974577969682674,14.97192653013233,17.30425144443886,18.80425144443886
2018-01-06,5.224054295009659,6.648199505598919,11.981996156098797,14.982761730570179,17.315792806598672,18.815792806598672
2018-01-07,5.228211120912903,6.65110858593325,11.989287732907284,14.99367702217653,17.327466879881317,18.827466879881317
2018-01-08,5.232042410129479,6.6536277775397465,11.996445168822484,15.004660357872076,17.339262560105222,18.839262560105222
2018-01-09,5.235542107268843,6.655753540245545,12.003461181597944,15.01569971782579,17.351168822950342,18.851168822950342
2018-01-10,5.238704473775798,6.6574827520970254,12.010328748491963,15.026783131547731,17.3631747448869,18.8631747448869
2018-01-11,5.241524094394833,6.658812708281755,12.01704111588407,15.037898699445481,17.375269523486384,18.875269523486384
2018-01-12,5.2439958827091875,6.659741119014685,12.023591808031005,15.049034613776143,17.387442497047324,18.887442497047324
2018-01-13,5.246115085759477,6.6602661064332525,12.02997463495144,15.060179178926623,17.39968316346963,18.89968316346963
2018-01-14,5.247877287755356,6.660386200553608,12.036183699437522,15.071320830964712,17.411981198321435,18.911981198321435
2018-01-15,5.249278412896582,6.6601003343417835,12.042213403194584,15.08244815640792,17.424326472047383,18.924326472047383
2018-01-16,5.250314727322369,6.6594078379545945,12.048058452113146,15.09354991016123,17.436709066271696,18.936709066271696
2018-01-17,5.25098284021435,6.658308432209671,12.053713860684294,15.104615032583762,17.449119289158915,18.949119289158915
2018-01-18,5.25127970407987,6.65680222134342,12.059174955571503,15.115632665648622,17.461547689799588,18.961547689799588
2018-01-19,5.251202614245466,6.654889685116767,12.064437378355619,15.126592168165931,17.47398507159447,18.97398507159447
2018-01-20,5.25074920759501,6.652571670330748,12.069497087475076,15.137483130047368,17.486422504619405,18.986422504619405
2018-01-21,5.249917460586201,6.649849381810954,12.074350359383349,15.148295385593,17.498851336955745,18.998851336955745
2018-01-22,5.248705686584408,6.646724372922592,12.078993788951644,15.159019025790293,17.511263204980697,19.011263204980697
2018-01-23,5.247112532552325,6.643198535674922,12.083424289145208,15.169644409618641,17.523650042615493,19.023650042615493
2018-01-24,5.245136975135297,6.639274090472706,12.087639090003654,15.180162174357804,17.5360040895346,19.0360040895346
2018-01-25,5.2427783161851975,6.6349535755728,12.091635736959718,15.190563244906016,17.548317898346635,19.048317898346635
2018-01-26,5.240036177763519,6.630239836299312,12.095412088529375,15.200838842115235,17.56058434075944,19.06058434075944
2018-01-27,5.236910496666861,6.625136014070846,12.098966313409582,15.210980490157498,17.572796612748316,19.072796612748316
2018-01-28,5.23340151851757,6.619645535290644,12.102296887020316,15.220980022939994,17.584948238749988,19.084948238749988
2018-01-29,5.229509791461318,6.613772100147041,12.105402587527461,15.23082958958956,17.59703307490788,19.09703307490788
2018-01-30,5.225236159514238,6.607519671370522,12.10828249138453,15.240521659031575,17.60904531139854,19.10904531139854
2018-01-31,5.220581755600272,6.600892462989538,12.110935968430192,15.25004902369043,17.620979473870847,19.120979473870847
2018-02-01,5.21554799431942,6.5938949291253826,12.11336267657917,15.259404802341956,17.632830424032957,19.132830424032957
2018-02-02,5.21013656448664,6.586531752863785,12.115562556143876,15.268582442150837,17.64459335942397,19.14459335942397
2018-02-03,5.204349421479206,6.57880783523715,12.117535823822884,15.277575719927297,17.656263812408618,19.156263812408618
2018-02-04,5.198188779428845,6.570728284348587,12.119282966391314,15.286378742638675,17.66783764843404,19.16783764843404
2018-02-05,5.191657103295383,6.562298404667754,12.120804734129331,15.294985947214942,17.67931106359091,19.17931106359091
2018-02-06,5.184757100853857,6.55352368652264,12.122102134020581,15.30339209968493,17.69068058151852,19.19068058151852
2018-02-07,5.177491714628997,6.544409795812342,12.123176422754886,15.311592293684342,17.70194304969743,19.20194304969743
2018-02-08,5.169864113805809,6.534962563959651,12.12402909956464,15.319581948373646,17.71309563516963,19.21309563516963
2018-02-09,5.1618776861460125,6.525187978122629,12.124661898925972,15.32735680580702,17.724135819729312,19.224135819729312
2018-02-10,5.153536029936873,6.51509217168043,12.125076783152588,15.334912927791809,17.735061394624747,19.235061394624747
2018-02-11,5.144842945996907,6.50468141500597,12.125275934908647,15.342246692277655,17.745870454811325,19.245870454811325
2018-02-12,5.1358024297620215,6.493962106536793,12.125261749666272,15.34935478931481,17.756561392795753,19.256561392795753
2018-02-13,5.126418663473801,6.482940764153257,12.12503682813164,15.356234216620336,17.76713289211002,19.26713289211002
2018-02-14,5.116696008488718,6.471624016870006,12.12460396866096,15.3628822747892,17.777583920451914,19.277583920451914
2018-02-15,5.106638997726933,6.460018596846512,12.12396615968743,15.36929656218746,17.78791372252835,19.28791372252835
2018-02-16,5.096252328276099,6.448131331719138,12.123126572177418,15.375474969562685,17.798121812635696,19.298121812635696
2018-02-17,5.085540854164838,6.43596913725646,12.122088552133157,15.381415674405947,17.808207967009853,19.308207967009853
2018-02-18,5.074509579319521,6.4235390103386925,12.120855613158513,15.387117135099405,17.818172215978333,19.318172215978333
2018-02-19,5.063163650714144,6.410848022258385,12.119431429100272,15.392578084879483,17.82801483594216,19.32801483594216
2018-02-20,5.051508351724572,6.397903312341207,12.117819826779236,15.39779752564764,17.837736341217266,19.337736341217266
2018-02-21,5.039549095695077,6.384712081882651,12.116024778821604,15.402774721656721,17.847337475760558,19.347337475760558
2018-02-22,5.0272914197235155,6.371281588395159,12.114050396599891,15.407509193099775,17.856819204804623,19.356819204804623
2018-02-23,5.014740978672554,6.357619140161559,12.11190092329338,15.412000709628575,17.8661827064252,19.3661827064252
2018-02-24,5.00190353940979,6.34373209108661,12.109580727073519,15.416249283824358,17.875429363060427,19.375429363060427
