,Fajr,Shorouq,Zohr,Asr,Maghrib,Isha
2018-02-21,05:02:22 AM,06:23:04 AM,12:06:57 PM,03:24:09 PM,05:50:50 PM,07:20:50 PM
2018-02-22,05:01:38 AM,06:22:16 AM,12:06:50 PM,03:24:27 PM,05:51:24 PM,07:21:24 PM
2018-02-23,05:00:53 AM,06:21:27 AM,12:06:42 PM,03:24:43 PM,05:51:58 PM,07:21:58 PM
2018-02-24,05:00:06 AM,06:20:37 AM,12:06:34 PM,03:24:58 PM,05:52:31 PM,07:22:31 PM
2018-02-25,04:59:19 AM,06:19:46 AM,12:06:25 PM,03:25:12 PM,05:53:04 PM,07:23:04 PM
2018-02-26,04:58:31 AM,06:18:55 AM,12:06:16 PM,03:25:26 PM,05:53:36 PM,07:23:36 PM
2018-02-27,04:57:42 AM,06:18:02 AM,12:06:05 PM,03:25:39 PM,05:54:08 PM,07:24:08 PM
2018-02-28,04:56:52 AM,06:17:09 AM,12:05:55 PM,03:25:50 PM,05:54:40 PM,07:24:40 PM
2018-03-01,04:56:01 AM,06:16:16 AM,12:05:44 PM,03:26:01 PM,05:55:11 PM,07:25:11 PM
2018-03-02,04:55:09 AM,06:15:21 AM,12:05:32 PM,03:26:12 PM,05:55:42 PM,07:25:42 PM
2018-03-03,04:54:16 AM,06:14:27 AM,12:05:20 PM,03:26:21 PM,05:56:13 PM,07:26:13 PM
2018-03-04,04:53:22 AM,06:13:31 AM,12:05:07 PM,03:26:29 PM,05:56:43 PM,07:26:43 PM
2018-03-05,04:52:28 AM,06:12:35 AM,12:04:54 PM,03:26:37 PM,05:57:13 PM,07:27:13 PM
2018-03-06,04:51:32 AM,06:11:38 AM,12:04:40 PM,03:26:43 PM,05:57:42 PM,07:27:42 PM
2018-03-07,04:50:36 AM,06:10:41 AM,12:04:26 PM,03:26:49 PM,05:58:12 PM,07:28:12 PM
2018-03-08,04:49:39 AM,06:09:44 AM,12:04:12 PM,03:26:54 PM,05:58:40 PM,07:28:40 PM
2018-03-09,04:48:42 AM,06:08:46 AM,12:03:57 PM,03:26:59 PM,05:59:09 PM,07:29:09 PM
