,Fajr,Shorouq,Zohr,Asr,Maghrib,Isha
2018-08-16,04:02:22 AM,05:27:54 AM,11:57:41 AM,03:25:49 PM,06:27:29 PM,07:57:29 PM
2018-08-17,04:02:59 AM,05:28:19 AM,11:57:29 AM,03:25:43 PM,06:26:39 PM,07:56:39 PM
2018-08-18,04:03:37 AM,05:28:44 AM,11:57:16 AM,03:25:35 PM,06:25:49 PM,07:55:49 PM
2018-08-19,04:04:13 AM,05:29:09 AM,11:57:03 AM,03:25:27 PM,06:24:57 PM,07:54:57 PM
2018-08-20,04:04:50 AM,05:29:33 AM,11:56:49 AM,03:25:17 PM,06:24:04 PM,07:54:04 PM
2018-08-21,04:05:26 AM,05:29:57 AM,11:56:34 AM,03:25:07 PM,06:23:11 PM,07:53:11 PM
2018-08-22,04:06:02 AM,05:30:22 AM,11:56:19 AM,03:24:56 PM,06:22:17 PM,07:52:17 PM
2018-08-23,04:06:37 AM,05:30:46 AM,11:56:04 AM,03:24:44 PM,06:21:23 PM,07:51:23 PM
2018-08-24,04:07:12 AM,05:31:09 AM,11:55:48 AM,03:24:31 PM,06:20:27 PM,07:50:27 PM
2018-08-25,04:07:46 AM,05:31:33 AM,11:55:32 AM,03:24:17 PM,06:19:31 PM,07:49:31 PM
2018-08-26,04:08:20 AM,05:31:56 AM,11:55:16 AM,03:24:02 PM,06:18:35 PM,07:48:35 PM
2018-08-27,04:08:54 AM,05:32:19 AM,11:54:58 AM,03:23:47 PM,06:17:38 PM,07:47:38 PM
2018-08-28,04:09:27 AM,05:32:42 AM,11:54:41 AM,03:23:30 PM,06:16:40 PM,07:46:40 PM
2018-08-29,04:10:00 AM,05:33:05 AM,11:54:23 AM,03:23:13 PM,06:15:41 PM,07:45:41 PM
2018-08-30,04:10:32 AM,05:33:28 AM,11:54:05 AM,03:22:55 PM,06:14:42 PM,07:44:42 PM
2018-08-31,04:11:04 AM,05:33:50 AM,11:53:47 AM,03:22:36 PM,06:13:43 PM,07:43:43 PM
2018-09-01,04:11:36 AM,05:34:13 AM,11:53:28 AM,03:22:16 PM,06:12:43 PM,07:42:43 PM
2018-09-02,04:12:07 AM,05:34:35 AM,11:53:09 AM,03:21:55 PM,06:11:43 PM,07:41:43 PM
2018-09-03,04:12:38 AM,05:34:57 AM,11:52:50 AM,03:21:34 PM,06:10:42 PM,07:40:42 PM
2018-09-04,04:13:09 AM,05:35:19 AM,11:52:30 AM,03:21:11 PM,06:09:41 PM,07:39:41 PM
2018-09-05,04:13:39 AM,05:35:41 AM,11:52:10 AM,03:20:48 PM,06:08:39 PM,07:38:39 PM
2018-09-06,04:14:08 AM,05:36:02 AM,11:51:50 AM,03:20:24 PM,06:07:37 PM,07:37:37 PM
2018-09-07,04:14:38 AM,05:36:24 AM,11:51:30 AM,03:20:00 PM,06:06:35 PM,07:36:35 PM
2018-09-08,04:15:07 AM,05:36:46 AM,11:51:09 AM,03:19:35 PM,06:05:32 PM,07:35:32 PM
2018-09-09,04:15:35 AM,05:37:07 AM,11:50:48 AM,03:19:09 PM,06:04:30 PM,07:34:30 PM
2018-09-10,04:16:04 AM,05:37:28 AM,11:50:27 AM,03:18:42 PM,06:03:26 PM,07:33:26 PM
2018-09-11,04:16:32 AM,05:37:50 AM,11:50:06 AM,03:18:14 PM,06:02:23 PM,07:32:23 PM
2018-09-12,04:16:59 AM,05:38:11 AM,11:49:45 AM,03:17:46 PM,06:01:20 PM,07:31:20 PM
2018-09-13,04:17:27 AM,05:38:32 AM,11:49:24 AM,03:17:18 PM,06:00:16 PM,07:30:16 PM
2018-09-14,04:17:54 AM,05:38:54 AM,11:49:03 AM,03:16:48 PM,05:59:12 PM,07:29:12 PM
2018-09-15,04:18:21 AM,05:39:15 AM,11:48:41 AM,03:16:19 PM,05:58:08 PM,07:28:08 PM
2018-09-16,04:18:47 AM,05:39:36 AM,11:48:20 AM,03:15:48 PM,05:57:04 PM,07:27:04 PM
2018-09-17,04:19:14 AM,05:39:58 AM,11:47:59 AM,03:15:17 PM,05:55:59 PM,07:25:59 PM
2018-09-18,04:19:40 AM,05:40:19 AM,11:47:37 AM,03:14:46 PM,05:54:55 PM,07:24:55 PM
2018-09-19,04:20:06 AM,05:40:41 AM,11:47:16 AM,03:14:13 PM,05:53:51 PM,07:23:51 PM
2018-09-20,04:20:31 AM,05:41:02 AM,11:46:54 AM,03:13:41 PM,05:52:47 PM,07:22:47 PM
2018-09-21,04:20:57 AM,05:41:24 AM,11:46:33 AM,03:13:08 PM,05:51:42 PM,07:21:42 PM
2018-09-22,04:21:22 AM,05:41:45 AM,11:46:12 AM,03:12:35 PM,05:50:38 PM,07:20:38 PM
2018-09-23,04:21:47 AM,05:42:07 AM,11:45:51 AM,03:12:01 PM,05:49:34 PM,07:19:34 PM
2018-09-24,04:22:12 AM,05:42:29 AM,11:45:30 AM,03:11:26 PM,05:48:30 PM,07:18:30 PM
2018-09-25,04:22:36 AM,05:42:51 AM,11:45:09 AM,03:10:52 PM,05:47:26 PM,07:17:26 PM
2018-09-26,04:23:01 AM,05:43:14 AM,11:44:48 AM,03:10:17 PM,05:46:22 PM,07:16:22 PM
2018-09-27,04:23:26 AM,05:43:36 AM,11:44:27 AM,03:09:42 PM,05:45:19 PM,07:15:19 PM
2018-09-28,04:23:50 AM,05:43:59 AM,11:44:07 AM,03:09:06 PM,05:44:15 PM,07:14:15 PM
2018-09-29,04:24:14 AM,05:44:22 AM,11:43:47 AM,03:08:30 PM,05:43:12 PM,07:13:12 PM
2018-09-30,04:24:39 AM,05:44:45 AM,11:43:27 AM,03:07:54 PM,05:42:09 PM,07:12:09 PM
2018-10-01,04:25:03 AM,05:45:08 AM,11:43:07 AM,03:07:18 PM,05:41:07 PM,07:11:07 PM
2018-10-02,04:25:27 AM,05:45:31 AM,11:42:48 AM,03:06:42 PM,05:40:05 PM,07:10:05 PM
2018-10-03,04:25:51 AM,05:45:55 AM,11:42:29 AM,03:06:05 PM,05:39:03 PM,07:09:03 PM
2018-10-04,04:26:15 AM,05:46:19 AM,11:42:10 AM,03:05:29 PM,05:38:01 PM,07:08:01 PM
2018-10-05,04:26:39 AM,05:46:44 AM,11:41:52 AM,03:04:52 PM,05:37:00 PM,07:07:00 PM
2018-10-06,04:27:04 AM,05:47:08 AM,11:41:34 AM,03:04:15 PM,05:36:00 PM,07:06:00 PM
2018-10-07,04:27:28 AM,05:47:33 AM,11:41:16 AM,03:03:38 PM,05:34:59 PM,07:04:59 PM
2018-10-08,04:27:52 AM,05:47:58 AM,11:40:59 AM,03:03:01 PM,05:34:00 PM,07:04:00 PM
2018-10-09,04:28:17 AM,05:48:24 AM,11:40:42 AM,03:02:25 PM,05:33:00 PM,07:03:00 PM
2018-10-10,04:28:41 AM,05:48:50 AM,11:40:26 AM,03:01:48 PM,05:32:02 PM,07:02:02 PM
2018-10-11,04:29:05 AM,05:49:16 AM,11:40:10 AM,03:01:11 PM,05:31:04 PM,07:01:04 PM
2018-10-12,04:29:30 AM,05:49:43 AM,11:39:55 AM,03:00:35 PM,05:30:06 PM,07:00:06 PM
2018-10-13,04:29:55 AM,05:50:10 AM,11:39:40 AM,02:59:58 PM,05:29:09 PM,06:59:09 PM
2018-10-14,04:30:20 AM,05:50:38 AM,11:39:25 AM,02:59:22 PM,05:28:13 PM,06:58:13 PM
2018-10-15,04:30:45 AM,05:51:05 AM,11:39:11 AM,02:58:46 PM,05:27:17 PM,06:57:17 PM
2018-10-16,04:31:10 AM,05:51:34 AM,11:38:58 AM,02:58:10 PM,05:26:22 PM,06:56:22 PM
2018-10-17,04:31:36 AM,05:52:02 AM,11:38:45 AM,02:57:35 PM,05:25:28 PM,06:55:28 PM
2018-10-18,04:32:01 AM,05:52:31 AM,11:38:33 AM,02:57:00 PM,05:24:35 PM,06:54:35 PM
2018-10-19,04:32:27 AM,05:53:01 AM,11:38:22 AM,02:56:25 PM,05:23:42 PM,06:53:42 PM
2018-10-20,04:32:53 AM,05:53:31 AM,11:38:11 AM,02:55:50 PM,05:22:50 PM,06:52:50 PM
2018-10-21,04:33:19 AM,05:54:01 AM,11:38:00 AM,02:55:16 PM,05:21:59 PM,06:51:59 PM
2018-10-22,04:33:46 AM,05:54:32 AM,11:37:51 AM,02:54:43 PM,05:21:09 PM,06:51:09 PM
2018-10-23,04:34:13 AM,05:55:04 AM,11:37:42 AM,02:54:10 PM,05:20:20 PM,06:50:20 PM
2018-10-24,04:34:40 AM,05:55:35 AM,11:37:34 AM,02:53:37 PM,05:19:32 PM,06:49:32 PM
2018-10-25,04:35:07 AM,05:56:08 AM,11:37:26 AM,02:53:05 PM,05:18:44 PM,06:48:44 PM
2018-10-26,04:35:35 AM,05:56:40 AM,11:37:19 AM,02:52:33 PM,05:17:58 PM,06:47:58 PM
2018-10-27,04:36:03 AM,05:57:14 AM,11:37:13 AM,02:52:02 PM,05:17:12 PM,06:47:12 PM
2018-10-28,04:36:31 AM,05:57:47 AM,11:37:08 AM,02:51:32 PM,05:16:28 PM,06:46:28 PM
2018-10-29,04:36:59 AM,05:58:21 AM,11:37:03 AM,02:51:02 PM,05:15:44 PM,06:45:44 PM
2018-10-30,04:37:28 AM,05:58:56 AM,11:36:59 AM,02:50:33 PM,05:15:02 PM,06:45:02 PM
2018-10-31,04:37:57 AM,05:59:31 AM,11:36:56 AM,02:50:04 PM,05:14:21 PM,06:44:21 PM
2018-11-01,04:38:27 AM,06:00:07 AM,11:36:54 AM,02:49:37 PM,05:13:41 PM,06:43:41 PM
2018-11-02,04:38:57 AM,06:00:43 AM,11:36:52 AM,02:49:10 PM,05:13:02 PM,06:43:02 PM
2018-11-03,04:39:27 AM,06:01:19 AM,11:36:51 AM,02:48:43 PM,05:12:24 PM,06:42:24 PM
2018-11-04,04:39:57 AM,06:01:56 AM,11:36:51 AM,02:48:18 PM,05:11:47 PM,06:41:47 PM
2018-11-05,04:40:28 AM,06:02:33 AM,11:36:52 AM,02:47:54 PM,05:11:12 PM,06:41:12 PM
2018-11-06,04:40:59 AM,06:03:11 AM,11:36:54 AM,02:47:30 PM,05:10:37 PM,06:40:37 PM
2018-11-07,04:41:30 AM,06:03:49 AM,11:36:57 AM,02:47:07 PM,05:10:04 PM,06:40:04 PM
2018-11-08,04:42:02 AM,06:04:28 AM,11:37:00 AM,02:46:46 PM,05:09:33 PM,06:39:33 PM
2018-11-09,04:42:34 AM,06:05:07 AM,11:37:04 AM,02:46:25 PM,05:09:02 PM,06:39:02 PM
2018-11-10,04:43:07 AM,06:05:46 AM,11:37:09 AM,02:46:05 PM,05:08:33 PM,06:38:33 PM
2018-11-11,04:43:39 AM,06:06:26 AM,11:37:15 AM,02:45:46 PM,05:08:05 PM,06:38:05 PM
2018-11-12,04:44:13 AM,06:07:06 AM,11:37:22 AM,02:45:28 PM,05:07:39 PM,06:37:39 PM
2018-11-13,04:44:46 AM,06:07:46 AM,11:37:30 AM,02:45:12 PM,05:07:13 PM,06:37:13 PM
2018-11-14,04:45:20 AM,06:08:27 AM,11:37:38 AM,02:44:56 PM,05:06:50 PM,06:36:50 PM
2018-11-15,04:45:54 AM,06:09:08 AM,11:37:48 AM,02:44:41 PM,05:06:27 PM,06:36:27 PM
2018-11-16,04:46:28 AM,06:09:49 AM,11:37:58 AM,02:44:28 PM,05:06:06 PM,06:36:06 PM
2018-11-17,04:47:02 AM,06:10:31 AM,11:38:09 AM,02:44:16 PM,05:05:47 PM,06:35:47 PM
2018-11-18,04:47:37 AM,06:11:13 AM,11:38:21 AM,02:44:05 PM,05:05:29 PM,06:35:29 PM
2018-11-19,04:48:12 AM,06:11:55 AM,11:38:34 AM,02:43:55 PM,05:05:12 PM,06:35:12 PM
2018-11-20,04:48:48 AM,06:12:37 AM,11:38:47 AM,02:43:46 PM,05:04:57 PM,06:34:57 PM
2018-11-21,04:49:23 AM,06:13:20 AM,11:39:01 AM,02:43:38 PM,05:04:43 PM,06:34:43 PM
2018-11-22,04:49:59 AM,06:14:02 AM,11:39:17 AM,02:43:32 PM,05:04:31 PM,06:34:31 PM
2018-11-23,04:50:35 AM,06:14:45 AM,11:39:32 AM,02:43:27 PM,05:04:20 PM,06:34:20 PM
2018-11-24,04:51:11 AM,06:15:28 AM,11:39:49 AM,02:43:23 PM,05:04:11 PM,06:34:11 PM
2018-11-25,04:51:47 AM,06:16:10 AM,11:40:07 AM,02:43:20 PM,05:04:03 PM,06:34:03 PM
2018-11-26,04:52:24 AM,06:16:53 AM,11:40:25 AM,02:43:19 PM,05:03:57 PM,06:33:57 PM
2018-11-27,04:53:00 AM,06:17:36 AM,11:40:44 AM,02:43:19 PM,05:03:52 PM,06:33:52 PM
2018-11-28,04:53:37 AM,06:18:19 AM,11:41:04 AM,02:43:20 PM,05:03:49 PM,06:33:49 PM
2018-11-29,04:54:14 AM,06:19:01 AM,11:41:24 AM,02:43:22 PM,05:03:47 PM,06:33:47 PM
2018-11-30,04:54:50 AM,06:19:44 AM,11:41:45 AM,02:43:26 PM,05:03:47 PM,06:33:47 PM
2018-12-01,04:55:27 AM,06:20:26 AM,11:42:07 AM,02:43:31 PM,05:03:48 PM,06:33:48 PM
2018-12-02,04:56:04 AM,06:21:08 AM,11:42:30 AM,02:43:38 PM,05:03:51 PM,06:33:51 PM
2018-12-03,04:56:41 AM,06:21:50 AM,11:42:53 AM,02:43:45 PM,05:03:55 PM,06:33:55 PM
2018-12-04,04:57:17 AM,06:22:32 AM,11:43:16 AM,02:43:54 PM,05:04:00 PM,06:34:00 PM
2018-12-05,04:57:54 AM,06:23:14 AM,11:43:41 AM,02:44:04 PM,05:04:08 PM,06:34:08 PM
2018-12-06,04:58:30 AM,06:23:55 AM,11:44:05 AM,02:44:16 PM,05:04:16 PM,06:34:16 PM
2018-12-07,04:59:07 AM,06:24:35 AM,11:44:31 AM,02:44:28 PM,05:04:26 PM,06:34:26 PM
2018-12-08,04:59:43 AM,06:25:16 AM,11:44:57 AM,02:44:42 PM,05:04:38 PM,06:34:38 PM
2018-12-09,05:00:19 AM,06:25:56 AM,11:45:23 AM,02:44:57 PM,05:04:51 PM,06:34:51 PM
2018-12-10,05:00:54 AM,06:26:35 AM,11:45:50 AM,02:45:14 PM,05:05:05 PM,06:35:05 PM
2018-12-11,05:01:30 AM,06:27:14 AM,11:46:17 AM,02:45:31 PM,05:05:21 PM,06:35:21 PM
2018-12-12,05:02:05 AM,06:27:52 AM,11:46:45 AM,02:45:50 PM,05:05:38 PM,06:35:38 PM
2018-12-13,05:02:40 AM,06:28:29 AM,11:47:13 AM,02:46:10 PM,05:05:56 PM,06:35:56 PM
2018-12-14,05:03:14 AM,06:29:06 AM,11:47:41 AM,02:46:31 PM,05:06:16 PM,06:36:16 PM
2018-12-15,05:03:48 AM,06:29:43 AM,11:48:10 AM,02:46:54 PM,05:06:37 PM,06:36:37 PM
2018-12-16,05:04:22 AM,06:30:18 AM,11:48:39 AM,02:47:17 PM,05:06:59 PM,06:36:59 PM
2018-12-17,05:04:55 AM,06:30:53 AM,11:49:08 AM,02:47:41 PM,05:07:23 PM,06:37:23 PM
2018-12-18,05:05:27 AM,06:31:27 AM,11:49:37 AM,02:48:07 PM,05:07:48 PM,06:37:48 PM
2018-12-19,05:05:59 AM,06:32:00 AM,11:50:07 AM,02:48:34 PM,05:08:13 PM,06:38:13 PM
2018-12-20,05:06:31 AM,06:32:32 AM,11:50:36 AM,02:49:01 PM,05:08:41 PM,06:38:41 PM
2018-12-21,05:07:01 AM,06:33:03 AM,11:51:06 AM,02:49:30 PM,05:09:09 PM,06:39:09 PM
2018-12-22,05:07:32 AM,06:33:33 AM,11:51:36 AM,02:49:59 PM,05:09:38 PM,06:39:38 PM
2018-12-23,05:08:01 AM,06:34:03 AM,11:52:06 AM,02:50:29 PM,05:10:09 PM,06:40:09 PM
2018-12-24,05:08:30 AM,06:34:31 AM,11:52:35 AM,02:51:01 PM,05:10:40 PM,06:40:40 PM
2018-12-25,05:08:58 AM,06:34:58 AM,11:53:05 AM,02:51:33 PM,05:11:13 PM,06:41:13 PM
2018-12-26,05:09:25 AM,06:35:24 AM,11:53:35 AM,02:52:05 PM,05:11:46 PM,06:41:46 PM
2018-12-27,05:09:51 AM,06:35:49 AM,11:54:05 AM,02:52:39 PM,05:12:20 PM,06:42:20 PM
2018-12-28,05:10:17 AM,06:36:13 AM,11:54:34 AM,02:53:13 PM,05:12:56 PM,06:42:56 PM
2018-12-29,05:10:41 AM,06:36:35 AM,11:55:04 AM,02:53:48 PM,05:13:32 PM,06:43:32 PM
2018-12-30,05:11:05 AM,06:36:57 AM,11:55:33 AM,02:54:24 PM,05:14:09 PM,06:44:09 PM
2018-12-31,05:11:28 AM,06:37:17 AM,11:56:02 AM,02:55:00 PM,05:14:46 PM,06:44:46 PM
